PseudoCID,Client_Description,Client_Code,PubCode,Sales_Type,VoiceMail,InBnd_TranNo,Carrier,Status,PR_Date,LastUse_Date,DID_CNT,LeadFileID,Notes
1111110143,Amer. Fed. of Police & Concerned Citizens,AFPC,NARP,R,7382,8004904318,TouchTone,Active,2022-03-10,None,25,TT-031020220143,None
1111110243,Amer. Fed. of Police & Concerned Citizens,AFPC,NARP,R,7382,8004904318,CCI,Active,2023-01-31,None,50,CCI-013120230243,None
1111110280,American Breast Cancer Support Assoc.,ABCS,NAR1,R,7384,8009056057,CCI,Active,2021-02-16,None,1,CCI-021620210280,None
1111110407,"Arizona State Lodge, Fraternal Order of Police Inc.",AFOP,AZBF,B,7361,8005250676,CCI,Active,2023-01-06,None,25,CCI-010620230407,None
1111110406,"Arizona State Lodge, Fraternal Order of Police Inc.",AFOP,AZBF,B,7361,8005250676,CCI,Active,2023-01-18,None,50,CCI-011820230406,None
1111110490,"Arizona State Lodge, Fraternal Order of Police Inc.",AFOP,AZBF,B,7361,8005250676,CCI,Active,2023-04-04,None,50,CCI-040420230490,None
1111110491,"Arizona State Lodge, Fraternal Order of Police Inc.",AFOP,AZBF,B,7361,8005250676,CCI,Active,2023-04-04,None,50,CCI040420230491,None
1111110408,Autistic Children of America,ACOA,AZBF,B,7378,8006899497,CCI,Active,2022-11-08,None,25,,None
1111110409,Autistic Children of America,ACOA,AZBF,B,7378,8006899497,CCI,Active,2022-11-08,None,25,,None
1111110126,Autistic Children of America,ACOA,AZRF,R,7378,8006899497,TouchTone,Active,2022-12-19,None,50,,None
1111110127,Autistic Children of America,ACOA,AZRF,R,7378,8006899497,TouchTone,Active,2022-12-19,None,50,,None
1111110128,Autistic Children of America,ACOA,AZRF,R,7378,8006899497,TouchTone,Active,2022-12-19,None,50,,None
1111110129,Autistic Children of America,ACOA,AZRF,R,7378,8006899497,TouchTone,Active,2022-12-19,None,50,,None
1111110300,Autistic Children of America,ACOA,AZBF,B,7378,8006899497,TouchTone,Active,2022-12-30,None,50,,None
1111110301,Autistic Children of America,ACOA,AZBF,B,7378,8006899497,TouchTone,Active,2022-12-30,None,50,,None
1111110308,Autistic Children of America,ACOA,AZBF,B,7378,8006899497,TouchTone,Active,2022-12-30,None,50,,None
1111110309,Autistic Children of America,ACOA,AZBF,B,7378,8006899497,TouchTone,Active,2022-12-30,None,50,,None
1111110370,Autistic Children of America,ACOA,AZBF,B,7378,8006899497,TouchTone,Active,2022-12-30,None,50,,None
1111110410,Childhood Leukemia Foundation,CLF,NABG,B,7374,8006558660,CCI,Active,2022-11-08,None,25,,None
1111110411,Childhood Leukemia Foundation,CLF,NABG,B,7374,8006558660,CCI,Active,2022-11-08,None,25,,None
1111110109,Childhood Leukemia Foundation,CLF,NARG,R,7374,8006558660,TouchTone,Active,2021-10-26,None,50,,None
1111110146,Command Officers Assoc. of Michigan,COAM,MIRC,R,7389,8004977178,TouchTone,Active,2021-09-21,None,10,,None
1111110246,Command Officers Assoc. of Michigan,COAM,MIRC,R,7389,8004977178,CCI,Active,2021-09-28,None,10,,None
1111110313,Command Officers Assoc. of Michigan,COAM,MIBC,B,7389,8004977178,TouchTone,Active,2022-06-28,None,20,,None
1111110312,Command Officers Assoc. of Michigan,COAM,MIBC,B,7389,8004977178,TouchTone,Active,2022-09-23,None,25,,None
1111110181,Committee for Missing Children,CMC,NARM,R,7360,8005210301,TouchTone,Active,2021-02-22,None,1,,None
1111110147,Firefighters Charitable Foundation,FCF,NARF,R,7394,8004976964,TouchTone,Active,2021-09-21,None,10,,None
1111110416,Firefighters Charitable Foundation,FCF,NABF,B,7394,8004976964,CCI,Active,2022-11-08,None,25,,None
1111110417,Firefighters Charitable Foundation,FCF,NABF,B,7394,8004976964,CCI,Active,2022-11-08,None,25,,None
1111110247,Firefighters Charitable Foundation,FCF,NARF,R,7394,8004976964,CCI,Active,2023-01-31,None,50,,None
1111110148,Florida Highway Patrol Cmd Officers Assoc.,FHPC,FLRH,R,7364,8006539369,TouchTone,Active,2021-09-21,None,10,,None
1111110248,Florida Highway Patrol Cmd Officers Assoc.,FHPC,FLRH,R,7364,8006539369,CCI,Active,2021-09-28,None,10,,None
1111110492,Florida Highway Patrol Cmd Officers Assoc.,FHPC,FLBH,B,7364,8006539369,CCI,Active,2023-04-04,None,50,,None
1111110493,Florida Highway Patrol Cmd Officers Assoc.,FHPC,FLBH,B,7364,8006539369,CCI,Active,2023-04-04,None,50,,None
1111110149,Illinois Police Assoc.,IPA,ILRP,R,7369,8006561369,TouchTone,Active,2021-09-21,None,10,,None
1111110249,Illinois Police Assoc.,IPA,ILRP,R,7369,8006561369,CCI,Active,2021-09-28,None,10,,None
1111110494,Illinois Police Assoc.,IPA,ILBP,B,7369,8006561369,CCI,Active,2023-04-04,None,50,,None
1111110495,Illinois Police Assoc.,IPA,ILBP,B,7369,8006561369,CCI,Active,2023-04-04,None,50,,None
1111110282,Kentucky FOP,KFOP,KYRP,R,7367,8007467920,CCI,Active,2021-08-24,None,1,,None
1111110496,Kentucky FOP,KFOP,KYBP,B,7367,8007467920,CCI,Active,2023-04-04,None,50,,None
1111110497,Kentucky FOP,KFOP,KYBP,B,7367,8007467920,CCI,Active,2023-04-04,None,50,,None
1111110150,MI State Fraternal Order of Police FOP,MFOP,NA,R,7383,8009055395,TouchTone,Active,2021-09-21,None,5,,None
1111110250,MI State Fraternal Order of Police FOP,MFOP,NA,R,7383,8009055395,CCI,Active,2021-09-28,None,5,,None
1111110498,MI State Fraternal Order of Police FOP,MFOP,MIBF,B,7383,8009055395,CCI,Active,2023-04-04,None,50,,None
1111110499,MI State Fraternal Order of Police FOP,MFOP,MIBF,B,7383,8009055395,CCI,Active,2023-04-04,None,50,,None
1111110236,MPI All-Default,ALLDFLT,NA,R,7351,8006803192,CCI,Active,2023-04-03,None,50,,None
1111110237,MPI All-Default,ALLDFLT,NA,R,7351,8006803192,CCI,Active,2023-04-03,None,50,,None
1111110400,MPI All-Default,ALLDFLT,NA,B,7351,8006803192,CCI,Active,2023-01-18,None,50,,None
1111110480,MPI All-Default,ALLDFLT,NA,B,7351,8006803192,CCI,Active,2023-03-15,None,50,,None
1111110151,National Assoc. of Chiefs of Police,NACP,NARE,R,7373,8006539356,TouchTone,Active,2021-09-21,None,25,,None
1111110251,National Assoc. of Chiefs of Police,NACP,NARE,R,7373,8006539356,CCI,Active,2021-09-28,None,25,,None
1111110426,National Assoc. of Chiefs of Police,NACP,NABE,B,7373,8006539356,CCI,Active,2023-01-03,None,50,,None
1111110427,National Assoc. of Chiefs of Police,NACP,NABE,B,7373,8006539356,CCI,Active,2023-01-03,None,50,,None
1111110458,National Assoc. of Chiefs of Police,NACP,NABE,B,7373,8006539356,CCI,Active,2023-02-14,None,50,,None
1111110459,National Assoc. of Chiefs of Police,NACP,NABE,B,7373,8006539356,CCI,Active,2023-02-14,None,50,,None
1111110460,National Assoc. of Chiefs of Police,NACP,NABE,B,7373,8006539356,CCI,Active,2023-02-14,None,50,,None
1111110152,National Police & Troopers Assoc.,NPTA,NARQ,R,7357,8007436794,TouchTone,Active,2021-09-21,None,25,,None
1111110252,National Police & Troopers Assoc.,NPTA,NARQ,R,7357,8007436794,CCI,Active,2021-09-28,None,25,,None
1111110428,National Police & Troopers Assoc.,NPTA,NABQ,B,7357,8007436794,CCI,Active,2023-01-03,None,50,,None
1111110429,National Police & Troopers Assoc.,NPTA,NABQ,B,7357,8007436794,CCI,Active,2023-01-03,None,50,,None
1111110470,National Police & Troopers Assoc.,NPTA,NABQ,B,7357,8007436794,CCI,Active,2022-11-23,None,50,,None
1111110471,National Police & Troopers Assoc.,NPTA,NABQ,B,7357,8007436794,CCI,Active,2022-11-23,None,50,,None
1111110472,National Police & Troopers Assoc.,NPTA,NABQ,B,7357,8007436794,CCI,Active,2022-01-23,None,50,,None
1111110473,National Police & Troopers Assoc.,NPTA,NABQ,B,7357,8007436794,CCI,Active,2022-11-23,None,50,,None
1111110183,New Jersey Police Officer Foundation,NJPF,NJRP,R,7377,8007981769,TouchTone,Active,2021-02-04,None,1,,None
1111110283,New Jersey Police Officer Foundation,NJPF,NJRP,R,7377,8007981769,CCI,Active,2021-08-24,None,1,,None
1111110430,New Jersey Police Officer Foundation,NJPF,NJBP,B,7377,8007981769,CCI,Active,2023-03-16,None,50,,None
1111110431,New Jersey Police Officer Foundation,NJPF,NJBP,B,7377,8007981769,CCI,Active,2023-03-16,None,50,,None
1111110476,New Jersey Police Officer Foundation,NJPF,NJBP,B,7377,8007981769,CCI,Active,2023-03-16,None,50,,None
1111110477,New Jersey Police Officer Foundation,NJPF,NJBP,B,7377,8007981769,CCI,Active,2023-03-16,None,50,,None
1111110153,New York State Park Police PBA,NYSP,NYRS,R,7390,8005202703,TouchTone,Active,2021-09-21,None,10,,None
1111110253,New York State Park Police PBA,NYSP,NYRS,R,7390,8005202703,CCI,Active,2021-09-28,None,10,,None
1111110500,New York State Park Police PBA,NYSP,NYBS,B,7390,8005202703,CCI,Active,2023-04-04,None,50,,None
1111110501,New York State Park Police PBA,NYSP,NYBS,B,7390,8005202703,CCI,Active,2023-04-04,None,50,,None
1111110434,Ohio Patrolmen's Benevolent Assoc.,OHPB,OHBP,B,7397,8005187550,CCI,Active,2023-03-01,None,50,,None
1111110435,Ohio Patrolmen's Benevolent Assoc.,OHPB,OHBP,B,7397,8005187550,CCI,Active,2023-03-01,None,50,,None
1111110474,Ohio Patrolmen's Benevolent Assoc.,OHPB,OHBP,B,7397,8005187550,CCI,Active,2023-03-01,None,50,,None
1111110475,Ohio Patrolmen's Benevolent Assoc.,OHPB,OHBP,B,7397,8005187550,CCI,Active,2023-03-01,None,50,,None
1111110155,Police Officers Assoc. of Michigan,POAM,MIRR,R,7375,8004913503,TouchTone,Active,2021-09-21,None,10,,None
1111110255,Police Officers Assoc. of Michigan,POAM,MIRR,R,7375,8004913503,CCI,Active,2021-09-28,None,10,,None
1111110185,South Carolina Fraternal Order of Police,SCFP,SCRP,R,7358,8006561325,TouchTone,Active,2021-02-16,None,1,,None
1111110285,South Carolina Fraternal Order of Police,SCFP,SCRP,R,7358,8006561325,CCI,Active,2021-02-16,None,2,,None
1111110156,South Carolina Trooper Assoc.,SCTA,SCRT,R,7363,8005210078,TouchTone,Active,2021-09-21,None,5,,None
1111110256,South Carolina Trooper Assoc.,SCTA,SCRT,R,7363,8005210078,CCI,Active,2021-09-28,None,5,,None
1111110440,South Carolina Trooper Assoc.,SCTA,SCBT,B,7363,8005210078,CCI,Active,2023-03-15,None,50,,None
1111110441,South Carolina Trooper Assoc.,SCTA,SCBT,B,7363,8005210078,CCI,Active,2023-03-15,None,50,,None
1111110184,Texas Coalition of Police & Sherrifs,COPS,TXRC,R,7362,8007430105,TouchTone,Active,2021-02-16,None,1,,None
1111110284,Texas Coalition of Police & Sherrifs,COPS,TXRC,R,7362,8007430105,CCI,Active,2021-08-24,None,1,,None
1111110342,Texas Coalition of Police & Sherrifs,COPS,TXBC,B,7362,8007430105,TouchTone,Active,2022-11-29,None,25,,None
1111110343,Texas Coalition of Police & Sherrifs,COPS,TXBC,B,7362,8007430105,TouchTone,Active,2022-11-29,None,25,,None
1111110443,Texas Coalition of Police & Sherrifs,COPS,TXBC,B,7362,8007430105,CCI,Active,2023-03-15,None,50,,None
1111110444,Texas Coalition of Police & Sherrifs,COPS,TXBC,B,7362,8007430105,CCI,Active,2023-03-15,None,50,,None
1111110445,The United Police Fund,UPF,PCBU,B,7381,8002151579,CCI,Active,2022-11-08,None,25,,None
1111110446,The United Police Fund,UPF,PCBU,B,7381,8002151579,CCI,Active,2022-06-15,None,25,,None
1111110234,The United Police Fund,UPF,PCRU,R,7381,8002151579,CCI,Active,2022-02-02,None,50,,None
1111110235,The United Police Fund,UPF,PCRU,R,7381,8002151579,CCI,Active,2022-02-02,None,50,,None
1111110259,The United Police Fund,UPF,PCRU,R,7381,8002151579,CCI,Active,2023-03-13,None,100,,None
1111110260,The United Police Fund,UPF,PCRU,R,7381,8002151579,CCI,Active,2023-03-28,None,100,,None
1111110261,The United Police Fund,UPF,PCRU,R,7381,8002151579,CCI,Active,2023-03-28,None,100,,None
1111110262,The United Police Fund,UPF,PCRU,R,7381,8002151579,CCI,Active,2023-03-28,None,100,,None
1111110263,The United Police Fund,UPF,PCRU,R,7381,8002151579,CCI,Active,2023-03-28,None,100,,None
1111110264,The United Police Fund,UPF,PCRU,R,7381,8002151579,CCI,Active,2023-03-28,None,100,,None
1111110265,The United Police Fund,UPF,PCRU,R,7381,8002151579,CCI,Active,2023-03-28,None,100,,None
1111110266,The United Police Fund,UPF,PCRU,R,7381,8002151579,CCI,Active,2023-03-28,None,100,,None
1111110267,The United Police Fund,UPF,PCRU,R,7381,8002151579,CCI,Active,2023-03-28,None,100,,None
1111110268,The United Police Fund,UPF,PCRU,R,7381,8002151579,CCI,Active,2023-03-28,None,100,,None
1111110269,The United Police Fund,UPF,PCRU,R,7381,8002151579,CCI,Active,2023-03-28,None,100,,None
1111110270,The United Police Fund,UPF,PCRU,R,7381,8002151579,CCI,Active,2023-03-28,None,100,,None
1111110271,The United Police Fund,UPF,PCRU,R,7381,8002151579,CCI,Active,2023-03-13,None,100,,None
1111110272,The United Police Fund,UPF,PCRU,R,7381,8002151579,CCI,Active,2023-03-13,None,100,,None
1111110273,The United Police Fund,UPF,PCRU,R,7381,8002151579,CCI,Active,2023-03-13,None,100,,None
1111110274,The United Police Fund,UPF,PCRU,R,7381,8002151579,CCI,Active,2023-03-13,None,100,,None
1111110275,The United Police Fund,UPF,PCRU,R,7381,8002151579,CCI,Active,2023-03-13,None,100,,None
1111110276,The United Police Fund,UPF,PCRU,R,7381,8002151579,CCI,Active,2023-03-13,None,100,,None
1111110277,The United Police Fund,UPF,PCRU,R,7381,8002151579,CCI,Active,2023-03-13,None,100,,None
1111110278,The United Police Fund,UPF,PCRU,R,7381,8002151579,CCI,Active,2023-03-13,None,100,,None
1111110279,The United Police Fund,UPF,PCRU,R,7381,8002151579,CCI,Active,2023-03-13,None,100,,None
1111110157,Veterans Relief Network,VRN,NARI,R,7372,8007470052,TouchTone,Active,2021-09-21,None,15,,None
1111110257,Veterans Relief Network,VRN,NARI,R,7372,8007470052,CCI,Active,2021-09-28,None,15,,None
1111110158,Veterans Support Foundation,VSF,NARJ,R,7379,8006905034,TouchTone,Active,2021-09-21,None,10,,None
1111110258,Veterans Support Foundation,VSF,NARJ,R,7379,8006905034,CCI,Active,2023-01-31,None,50,,None
1111110350,Virginia Police Fund,VPF,VABC,B,7387,8045001961,TouchTone,Active,2022-11-29,None,25,,None
1111110351,Virginia Police Fund,VPF,VABC,B,7387,8045001961,TouchTone,Active,2022-11-29,None,25,,None
1111110451,Virginia Police Fund,VPF,VABC,B,7387,8045001961,CCI,Active,2023-01-03,None,50,,None
1111110452,Virginia Police Fund,VPF,VABC,B,7387,8045001961,CCI,Active,2023-01-03,None,50,,None
1111110453,Volunteer Firefighter Alliance,VFA,NABY,B,7380,8006905260,CCI,Active,2022-09-12,None,25,,None
1111110454,Volunteer Firefighter Alliance,VFA,NABY,B,7380,8006905260,CCI,Active,2022-09-12,None,25,,None
1111110455,Volunteer Firefighter Alliance,VFA,NABY,B,7380,8006905260,CCI,Active,2023-02-28,None,50,,None
1111110456,Volunteer Firefighter Alliance,VFA,NABY,B,7380,8006905260,CCI,Active,2023-02-28,None,50,,None
1111110239,Volunteer Firefighter Alliance,VFA,NARY,R,7380,8006905260,CCI,Active,2023-02-28,None,100,,None
1111110240,Volunteer Firefighter Alliance,VFA,NARY,R,7380,8006905260,CCI,Active,2023-02-28,None,100,,None
1111110241,Volunteer Firefighter Alliance,VFA,NARY,R,7380,8006905260,CCI,Active,2023-02-28,None,100,,None
1111110242,Volunteer Firefighter Alliance,VFA,NARY,R,7380,8006905260,CCI,Active,2023-02-28,None,100,,None
1111110218,Command Officers Assoc. of Michigan,COAM,MIRC,R,7389,8004977178,CCI,Active,2023-06-09,None,100,719160d5-75da-4ed1-84d0-4,None
1111110219,Command Officers Assoc. of Michigan,COAM,MIRC,R,7389,8004977178,CCI,Active,2023-06-09,None,100,719160d5-75da-4ed1-84d0-4,None
1111110220,Command Officers Assoc. of Michigan,COAM,MIRC,R,7389,8004977178,CCI,Active,2023-06-09,None,100,719160d5-75da-4ed1-84d0-4,None
1111110221,Command Officers Assoc. of Michigan,COAM,MIRC,R,7389,8004977178,CCI,Active,2023-06-09,None,100,719160d5-75da-4ed1-84d0-4,None
1111110222,Command Officers Assoc. of Michigan,COAM,MIRC,R,7389,8004977178,CCI,Active,2023-06-09,None,100,719160d5-75da-4ed1-84d0-4,None
1111110291,Virginia Police Fund,VPF,VARC,R,7387,8045001961,CCI,Active,2023-06-09,None,100,fce163f6-3fae-4647-a3b6-9,None
1111110292,Virginia Police Fund,VPF,VARC,R,7387,8045001961,CCI,Active,2023-06-09,None,100,fce163f6-3fae-4647-a3b6-9,None
1111110293,Virginia Police Fund,VPF,VARC,R,7387,8045001961,CCI,Active,2023-06-09,None,100,fce163f6-3fae-4647-a3b6-9,None
1111110294,Virginia Police Fund,VPF,VARC,R,7387,8045001961,CCI,Active,2023-06-09,None,100,fce163f6-3fae-4647-a3b6-9,None
1111110295,Virginia Police Fund,VPF,VARC,R,7387,8045001961,CCI,Active,2023-06-09,None,100,fce163f6-3fae-4647-a3b6-9,None
1111110418,Florida Highway Patrol Cmd Officers Assoc.,FHPC,FLBH,B,7364,8006539369,CCI,Active,2023-06-21,None,50,11f3d436-3111-49a5-89f4-1,None
1111110419,Florida Highway Patrol Cmd Officers Assoc.,FHPC,FLBH,B,7364,8006539369,CCI,Active,2023-06-21,None,50,11f3d436-3111-49a5-89f4-1,None
1111110420,Illinois Police Assoc.,IPA,ILBP,B,7369,8006561369,CCI,Active,2023-06-21,None,50,ad9f16ba-577f-4d64-815e-9,None
1111110421,Illinois Police Assoc.,IPA,ILBP,B,7369,8006561369,CCI,Active,2023-06-21,None,50,ad9f16ba-577f-4d64-815e-9,None
1111110422,Kentucky FOP,KFOP,KYBP,B,7367,8007467920,CCI,Active,2023-06-21,None,50,67226368-2c5d-4fd6-9cc6-a,None
1111110423,Kentucky FOP,KFOP,KYBP,B,7367,8007467920,CCI,Active,2023-06-21,None,50,67226368-2c5d-4fd6-9cc6-a,None
1111110436,Police Officers Assoc. of Michigan,POAM,MIBR,B,7375,8004913503,CCI,Active,2023-06-21,None,25,361a61a4-eefa-4fa7-9342-c,None
1111110437,Police Officers Assoc. of Michigan,POAM,MIBR,B,7375,8004913503,CCI,Active,2023-06-21,None,25,361a61a4-eefa-4fa7-9342-c,None
1111110432,New York State Park Police PBA,NYSP,NYBS,B,7390,8005202703,CCI,Active,2023-06-21,None,50,45343158-beed-4b45-ad01-e,None
1111110433,New York State Park Police PBA,NYSP,NYBS,B,7390,8005202703,CCI,Active,2023-06-21,None,50,45343158-beed-4b45-ad01-e,None
1111110424,MI State Fraternal Order of Police FOP,MFOP,MIBF,B,7383,8009055395,CCI,Active,2023-07-06,None,50,fd5b08e2-5624-4cbe-a3c0-7,None
1111110425,MI State Fraternal Order of Police FOP,MFOP,MIBF,B,7383,8009055395,CCI,Active,2023-07-06,None,50,fd5b08e2-5624-4cbe-a3c0-7,None
1111110447,Texas Coalition of Police & Sherrifs,COPS,TXBC,B,7362,8007430105,CCI,Active,2023-07-06,None,50,6232ecd3-d899-4b24-b593-9,None
1111110448,Texas Coalition of Police & Sherrifs,COPS,TXBC,B,7362,8007430105,CCI,Active,2023-07-06,None,50,6232ecd3-d899-4b24-b593-9,None
1111110449,Virginia Police Fund,VPF,VABC,B,7387,8045001961,CCI,Active,2023-07-06,None,50,da4d1438-5c36-4d11-9180-0,None
1111110450,Virginia Police Fund,VPF,VABC,B,7387,8045001961,CCI,Active,2023-07-06,None,50,da4d1438-5c36-4d11-9180-0,None
1111110461,MPI All-Default,ALLDFLT,NA,B,7351,8006803192,CCI,Active,2023-07-06,None,50,bf8a0b8a-6cb6-4936-89ac-d,None
1111110462,MPI All-Default,ALLDFLT,NA,B,7351,8006803192,CCI,Active,2023-07-06,None,50,bf8a0b8a-6cb6-4936-89ac-d,None
1111110463,MPI All-Default,ALLDFLT,NA,B,7351,8006803192,CCI,Active,2023-07-06,None,50,bf8a0b8a-6cb6-4936-89ac-d,None
1111110464,MPI All-Default,ALLDFLT,NA,B,7351,8006803192,CCI,Active,2023-07-06,None,50,bf8a0b8a-6cb6-4936-89ac-d,None
1111110465,MPI All-Default,ALLDFLT,NA,B,7351,8006803192,CCI,Active,2023-07-06,None,50,bf8a0b8a-6cb6-4936-89ac-d,None
1111110466,MPI All-Default,ALLDFLT,NA,B,7351,8006803192,CCI,Active,2023-07-06,None,50,bf8a0b8a-6cb6-4936-89ac-d,None
1111110467,MPI All-Default,ALLDFLT,NA,B,7351,8006803192,CCI,Active,2023-07-06,None,50,bf8a0b8a-6cb6-4936-89ac-d,None
1111110468,MPI All-Default,ALLDFLT,NA,B,7351,8006803192,CCI,Active,2023-07-06,None,50,bf8a0b8a-6cb6-4936-89ac-d,None
1111110100,MPI All-Default,ALLDFLT,NA,R,7351,8006803192,TouchTone,Active,2023-07-10,None,50,,None
1111110101,MPI All-Default,ALLDFLT,NA,R,7351,8006803192,TouchTone,Active,2023-07-10,None,50,,None
1111110102,MPI All-Default,ALLDFLT,NA,R,7351,8006803192,TouchTone,Active,2023-07-10,None,50,,None
1111110103,MPI All-Default,ALLDFLT,NA,R,7351,8006803192,TouchTone,Active,2023-07-10,None,50,,None
1111110110,MPI All-Default,ALLDFLT,NA,R,7351,8006803192,TouchTone,Active,2023-07-10,None,50,,None
1111110111,MPI All-Default,ALLDFLT,NA,R,7351,8006803192,TouchTone,Active,2023-07-10,None,50,,None
1111110112,MPI All-Default,ALLDFLT,NA,R,7351,8006803192,TouchTone,Active,2023-07-10,None,50,,None
1111110113,MPI All-Default,ALLDFLT,NA,R,7351,8006803192,TouchTone,Active,2023-07-10,None,50,,None
1111110114,MPI All-Default,ALLDFLT,NA,R,7351,8006803192,TouchTone,Active,2023-07-10,None,50,,None
1111110115,MPI All-Default,ALLDFLT,NA,R,7351,8006803192,TouchTone,Active,2023-07-10,None,50,,None
1111110116,MPI All-Default,ALLDFLT,NA,R,7351,8006803192,TouchTone,Active,2023-07-10,None,50,,None
1111110117,MPI All-Default,ALLDFLT,NA,R,7351,8006803192,TouchTone,Active,2023-07-10,None,50,,None
1111110104,MPI OB-Default,OBDFLT,NA,R,7350,8004724218,TouchTone,Active,2023-07-10,None,50,,None
1111110105,MPI OB-Default,OBDFLT,NA,R,7350,8004724218,TouchTone,Active,2023-07-10,None,50,,None
1111110106,MPI OB-Default,OBDFLT,NA,R,7350,8004724218,TouchTone,Active,2023-07-10,None,50,,None
1111110107,MPI OB-Default,OBDFLT,NA,R,7350,8004724218,TouchTone,Active,2023-07-10,None,50,,None
1111110108,MPI OB-Default,OBDFLT,NA,R,7350,8004724218,TouchTone,Active,2023-07-10,None,50,,None
1111110120,MPI OB-Default,OBDFLT,NA,R,7350,8004724218,TouchTone,Active,2023-07-10,None,50,,None
1111110121,MPI OB-Default,OBDFLT,NA,R,7350,8004724218,TouchTone,Active,2023-07-10,None,50,,None
1111110122,MPI OB-Default,OBDFLT,NA,R,7350,8004724218,TouchTone,Active,2023-07-10,None,50,,None
1111110123,MPI OB-Default,OBDFLT,NA,R,7350,8004724218,TouchTone,Active,2023-07-10,None,50,,None
1111110124,MPI OB-Default,OBDFLT,NA,R,7350,8004724218,TouchTone,Active,2023-07-10,None,50,,None
1111110160,The United Police Fund,UPF,PCRU,R,7381,8002151579,TouchTone,Active,2023-07-10,None,100,,None
1111110161,The United Police Fund,UPF,PCRU,R,7381,8002151579,TouchTone,Active,2023-07-10,None,100,,None
1111110162,The United Police Fund,UPF,PCRU,R,7381,8002151579,TouchTone,Active,2023-07-10,None,100,,None
1111110163,The United Police Fund,UPF,PCRU,R,7381,8002151579,TouchTone,Active,2023-07-10,None,100,,None
1111110164,The United Police Fund,UPF,PCRU,R,7381,8002151579,TouchTone,Active,2023-07-10,None,100,,None
1111110165,The United Police Fund,UPF,PCRU,R,7381,8002151579,TouchTone,Active,2023-07-10,None,100,,None
1111110166,The United Police Fund,UPF,PCRU,R,7381,8002151579,TouchTone,Active,2023-07-10,None,100,,None
1111110167,The United Police Fund,UPF,PCRU,R,7381,8002151579,TouchTone,Active,2023-07-10,None,100,,None
1111110168,The United Police Fund,UPF,PCRU,R,7381,8002151579,TouchTone,Active,2023-07-10,None,100,,None
1111110169,The United Police Fund,UPF,PCRU,R,7381,8002151579,TouchTone,Active,2023-07-10,None,100,,None
