PseudoCID,Sales_Type,Carrier,Status
1111110100,R,TouchTone,A
1111110101,R,TouchTone,A
1111110102,R,TouchTone,A
1111110103,R,TouchTone,A
1111110104,R,TouchTone,A
1111110105,R,TouchTone,A
1111110106,R,TouchTone,A
1111110107,R,TouchTone,A
1111110108,R,TouchTone,A
1111110109,R,TouchTone,A
1111110110,R,TouchTone,A
1111110111,R,TouchTone,A
1111110112,R,TouchTone,A
1111110113,R,TouchTone,A
1111110114,R,TouchTone,A
1111110115,R,TouchTone,A
1111110116,R,TouchTone,A
1111110117,R,TouchTone,A
1111110118,R,TouchTone,I
1111110119,R,TouchTone,I
1111110120,R,TouchTone,A
1111110121,R,TouchTone,A
1111110122,R,TouchTone,A
1111110123,R,TouchTone,A
1111110124,R,TouchTone,A
1111110125,R,TouchTone,I
1111110126,R,TouchTone,I
1111110127,R,TouchTone,I
1111110128,R,TouchTone,I
1111110129,R,TouchTone,I
1111110130,R,TouchTone,A
1111110131,R,TouchTone,A
1111110132,R,TouchTone,A
1111110133,R,TouchTone,A
1111110134,R,TouchTone,A
1111110135,R,TouchTone,I
1111110136,R,TouchTone,I
1111110137,R,TouchTone,I
1111110138,R,TouchTone,I
1111110139,R,TouchTone,I
1111110140,R,TouchTone,I
1111110141,R,TouchTone,I
1111110142,R,TouchTone,I
1111110143,R,TouchTone,A
1111110144,R,TouchTone,I
1111110145,R,TouchTone,I
1111110146,R,TouchTone,A
1111110147,R,TouchTone,A
1111110148,R,TouchTone,A
1111110149,R,TouchTone,A
1111110150,R,TouchTone,A
1111110151,R,TouchTone,A
1111110152,R,TouchTone,A
1111110153,R,TouchTone,A
1111110154,R,TouchTone,I
1111110155,R,TouchTone,A
1111110156,R,TouchTone,A
1111110157,R,TouchTone,A
1111110158,R,TouchTone,A
1111110159,R,TouchTone,I
1111110160,R,TouchTone,A
1111110161,R,TouchTone,A
1111110162,R,TouchTone,A
1111110163,R,TouchTone,A
1111110164,R,TouchTone,A
1111110165,R,TouchTone,A
1111110166,R,TouchTone,A
1111110167,R,TouchTone,A
1111110168,R,TouchTone,A
1111110169,R,TouchTone,A
1111110170,R,TouchTone,A
1111110171,R,TouchTone,A
1111110172,R,TouchTone,A
1111110173,R,TouchTone,A
1111110174,R,TouchTone,A
1111110175,R,TouchTone,A
1111110176,R,TouchTone,I
1111110177,R,TouchTone,I
1111110178,R,TouchTone,I
1111110179,R,TouchTone,I
1111110180,R,TouchTone,I
1111110181,R,TouchTone,A
1111110182,R,TouchTone,I
1111110183,R,TouchTone,A
1111110184,R,TouchTone,A
1111110185,R,TouchTone,A
1111110186,R,TouchTone,I
1111110187,R,TouchTone,I
1111110188,R,TouchTone,I
1111110189,R,TouchTone,I
1111110190,R,TouchTone,I
1111110191,R,TouchTone,I
1111110192,R,TouchTone,I
1111110193,R,TouchTone,I
1111110194,R,TouchTone,I
1111110195,R,TouchTone,I
1111110196,R,TouchTone,I
1111110197,R,TouchTone,I
1111110198,R,TouchTone,I
1111110199,R,TouchTone,I
1111110200,R,CCI,A
1111110201,R,CCI,A
1111110202,R,CCI,A
1111110203,R,CCI,A
1111110204,R,CCI,A
1111110205,R,CCI,A
1111110206,R,CCI,A
1111110207,R,CCI,A
1111110208,R,CCI,A
1111110209,R,CCI,A
1111110210,R,CCI,A
1111110211,R,CCI,A
1111110212,R,CCI,A
1111110213,R,CCI,A
1111110214,R,CCI,A
1111110215,R,CCI,A
1111110216,R,CCI,A
1111110217,R,CCI,A
1111110218,R,CCI,A
1111110219,R,CCI,A
1111110220,R,CCI,A
1111110221,R,CCI,A
1111110222,R,CCI,A
1111110223,R,CCI,I
1111110224,R,CCI,A
1111110225,R,CCI,A
1111110226,R,CCI,A
1111110227,R,CCI,A
1111110228,R,CCI,A
1111110229,R,CCI,A
1111110230,R,CCI,A
1111110231,R,CCI,A
1111110232,R,CCI,A
1111110233,R,CCI,A
1111110234,R,CCI,A
1111110235,R,CCI,A
1111110236,R,CCI,A
1111110237,R,CCI,A
1111110238,R,CCI,I
1111110239,R,CCI,I
1111110240,R,CCI,I
1111110241,R,CCI,I
1111110242,R,CCI,I
1111110243,R,CCI,A
1111110244,R,CCI,A
1111110245,R,CCI,A
1111110246,R,CCI,A
1111110247,R,CCI,A
1111110248,R,CCI,A
1111110249,R,CCI,A
1111110250,R,CCI,A
1111110251,R,CCI,A
1111110252,R,CCI,A
1111110253,R,CCI,A
1111110254,R,CCI,I
1111110255,R,CCI,A
1111110256,R,CCI,A
1111110257,R,CCI,A
1111110258,R,CCI,A
1111110259,R,CCI,A
1111110260,R,CCI,A
1111110261,R,CCI,A
1111110262,R,CCI,A
1111110263,R,CCI,A
1111110264,R,CCI,A
1111110265,R,CCI,A
1111110266,R,CCI,A
1111110267,R,CCI,A
1111110268,R,CCI,A
1111110269,R,CCI,A
1111110270,R,CCI,I
1111110271,R,CCI,I
1111110272,R,CCI,I
1111110273,R,CCI,I
1111110274,R,CCI,I
1111110275,R,CCI,I
1111110276,R,CCI,I
1111110277,R,CCI,I
1111110278,R,CCI,I
1111110279,R,CCI,I
1111110280,R,CCI,A
1111110281,R,CCI,I
1111110282,R,CCI,A
1111110283,R,CCI,A
1111110284,R,CCI,A
1111110285,R,CCI,A
1111110286,R,CCI,A
1111110287,R,CCI,A
1111110288,R,CCI,A
1111110289,R,CCI,A
1111110290,R,CCI,A
1111110291,R,CCI,A
1111110292,R,CCI,A
1111110293,R,CCI,A
1111110294,R,CCI,A
1111110295,R,CCI,A
1111110296,R,CCI,A
1111110297,R,CCI,A
1111110298,R,CCI,A
1111110299,R,CCI,A
1111110300,B,TouchTone,A
1111110301,B,TouchTone,A
1111110302,B,TouchTone,I
1111110303,B,TouchTone,I
1111110304,B,TouchTone,I
1111110305,B,TouchTone,I
1111110306,B,TouchTone,I
1111110307,B,TouchTone,I
1111110308,B,TouchTone,A
1111110309,B,TouchTone,A
1111110310,B,TouchTone,I
1111110311,B,TouchTone,I
1111110312,B,TouchTone,A
1111110313,B,TouchTone,A
1111110314,B,TouchTone,I
1111110315,B,TouchTone,I
1111110316,B,TouchTone,I
1111110317,B,TouchTone,I
1111110318,B,TouchTone,I
1111110319,B,TouchTone,I
1111110320,B,TouchTone,I
1111110321,B,TouchTone,I
1111110322,B,TouchTone,I
1111110323,B,TouchTone,I
1111110324,B,TouchTone,I
1111110325,B,TouchTone,I
1111110326,B,TouchTone,I
1111110327,B,TouchTone,I
1111110328,B,TouchTone,I
1111110329,B,TouchTone,I
1111110330,B,TouchTone,I
1111110331,B,TouchTone,I
1111110332,B,TouchTone,I
1111110333,B,TouchTone,I
1111110334,B,TouchTone,I
1111110335,B,TouchTone,I
1111110336,B,TouchTone,I
1111110337,B,TouchTone,I
1111110338,B,TouchTone,I
1111110339,B,TouchTone,I
1111110340,B,TouchTone,I
1111110341,B,TouchTone,I
1111110342,B,TouchTone,I
1111110343,B,TouchTone,I
1111110344,B,TouchTone,I
1111110345,B,TouchTone,I
1111110346,B,TouchTone,I
1111110347,B,TouchTone,I
1111110348,B,TouchTone,I
1111110349,B,TouchTone,I
1111110350,B,TouchTone,I
1111110351,B,TouchTone,I
1111110352,B,TouchTone,I
1111110353,B,TouchTone,I
1111110354,B,TouchTone,I
1111110355,B,TouchTone,I
1111110356,B,TouchTone,I
1111110357,B,TouchTone,I
1111110358,B,TouchTone,I
1111110359,B,TouchTone,I
1111110360,B,TouchTone,I
1111110361,B,TouchTone,I
1111110362,B,TouchTone,I
1111110363,B,TouchTone,I
1111110364,B,TouchTone,I
1111110365,B,TouchTone,I
1111110366,B,TouchTone,I
1111110367,B,TouchTone,I
1111110368,B,TouchTone,I
1111110369,B,TouchTone,I
1111110370,B,TouchTone,A
1111110371,B,TouchTone,I
1111110372,B,TouchTone,I
1111110373,B,TouchTone,I
1111110374,B,TouchTone,I
1111110375,B,TouchTone,I
1111110376,B,TouchTone,I
1111110377,B,TouchTone,I
1111110378,B,TouchTone,I
1111110379,B,TouchTone,I
1111110380,B,TouchTone,I
1111110381,B,TouchTone,I
1111110382,B,TouchTone,I
1111110383,B,TouchTone,I
1111110384,B,TouchTone,I
1111110385,B,TouchTone,I
1111110386,B,TouchTone,I
1111110387,B,TouchTone,I
1111110388,B,TouchTone,I
1111110389,B,TouchTone,I
1111110390,B,TouchTone,I
1111110391,B,TouchTone,I
1111110392,B,TouchTone,I
1111110393,B,TouchTone,I
1111110394,B,TouchTone,I
1111110395,B,TouchTone,I
1111110396,B,TouchTone,I
1111110397,B,TouchTone,I
1111110398,B,TouchTone,I
1111110399,B,TouchTone,I
1111110400,B,CCI,A
1111110401,B,CCI,I
1111110402,B,CCI,I
1111110403,B,CCI,I
1111110404,B,CCI,I
1111110405,B,CCI,I
1111110406,B,CCI,A
1111110407,B,CCI,A
1111110408,B,CCI,A
1111110409,B,CCI,A
1111110410,B,CCI,A
1111110411,B,CCI,A
1111110412,B,CCI,I
1111110413,B,CCI,I
1111110414,B,CCI,I
1111110415,B,CCI,I
1111110416,B,CCI,A
1111110417,B,CCI,A
1111110418,B,CCI,A
1111110419,B,CCI,A
1111110420,B,CCI,A
1111110421,B,CCI,A
1111110422,B,CCI,A
1111110423,B,CCI,A
1111110424,B,CCI,A
1111110425,B,CCI,A
1111110426,B,CCI,A
1111110427,B,CCI,A
1111110428,B,CCI,A
1111110429,B,CCI,A
1111110430,B,CCI,A
1111110431,B,CCI,A
1111110432,B,CCI,A
1111110433,B,CCI,A
1111110434,B,CCI,A
1111110435,B,CCI,A
1111110436,B,CCI,A
1111110437,B,CCI,A
1111110438,B,CCI,A
1111110439,B,CCI,A
1111110440,B,CCI,A
1111110441,B,CCI,A
1111110442,B,CCI,I
1111110443,B,CCI,A
1111110444,B,CCI,A
1111110445,B,CCI,A
1111110446,B,CCI,A
1111110447,B,CCI,A
1111110448,B,CCI,A
1111110449,B,CCI,A
1111110450,B,CCI,A
1111110451,B,CCI,A
1111110452,B,CCI,A
1111110453,B,CCI,A
1111110454,B,CCI,A
1111110455,B,CCI,A
1111110456,B,CCI,A
1111110457,B,CCI,I
1111110458,B,CCI,A
1111110459,B,CCI,A
1111110460,B,CCI,A
1111110461,B,CCI,A
1111110462,B,CCI,A
1111110463,B,CCI,A
1111110464,B,CCI,A
1111110465,B,CCI,A
1111110466,B,CCI,A
1111110467,B,CCI,A
1111110468,B,CCI,A
1111110469,B,CCI,I
1111110470,B,CCI,A
1111110471,B,CCI,A
1111110472,B,CCI,A
1111110473,B,CCI,A
1111110474,B,CCI,A
1111110475,B,CCI,A
1111110476,B,CCI,A
1111110477,B,CCI,A
1111110478,B,CCI,A
1111110479,B,CCI,A
1111110480,B,CCI,A
1111110481,B,CCI,A
1111110482,B,CCI,A
1111110483,B,CCI,A
1111110484,B,CCI,A
1111110485,B,CCI,A
1111110486,B,CCI,A
1111110487,B,CCI,A
1111110488,B,CCI,A
1111110489,B,CCI,A
1111110490,B,CCI,A
1111110491,B,CCI,A
1111110492,B,CCI,A
1111110493,B,CCI,A
1111110494,B,CCI,A
1111110495,B,CCI,A
1111110496,B,CCI,A
1111110497,B,CCI,A
1111110498,B,CCI,A
1111110499,B,CCI,A
1111110500,R,TouchTone,I
1111110501,R,TouchTone,I
1111110502,R,TouchTone,I
1111110503,R,TouchTone,I
1111110504,R,TouchTone,I
1111110505,R,TouchTone,I
1111110506,R,TouchTone,I
1111110507,R,TouchTone,I
1111110508,R,TouchTone,I
1111110509,R,TouchTone,I
1111110510,R,TouchTone,I
1111110511,R,TouchTone,X
1111110512,R,TouchTone,X
1111110513,R,TouchTone,X
1111110514,R,TouchTone,X
1111110515,R,TouchTone,X
1111110516,R,TouchTone,X
1111110517,R,TouchTone,X
1111110518,R,TouchTone,X
1111110519,R,TouchTone,X
1111110520,R,TouchTone,X
1111110521,R,TouchTone,X
1111110522,R,TouchTone,X
1111110523,R,TouchTone,X
1111110524,R,TouchTone,X
1111110525,R,TouchTone,X
1111110526,R,TouchTone,X
1111110527,R,TouchTone,X
1111110528,R,TouchTone,X
1111110529,R,TouchTone,X
1111110530,R,TouchTone,X
1111110531,R,TouchTone,X
1111110532,R,TouchTone,X
1111110533,R,TouchTone,X
1111110534,R,TouchTone,X
1111110535,R,TouchTone,X
1111110536,R,TouchTone,X
1111110537,R,TouchTone,X
1111110538,R,TouchTone,X
1111110539,R,TouchTone,X
1111110540,R,TouchTone,X
1111110541,R,TouchTone,X
1111110542,R,TouchTone,X
1111110543,R,TouchTone,X
1111110544,R,TouchTone,X
1111110545,R,TouchTone,X
1111110546,R,TouchTone,X
1111110547,R,TouchTone,X
1111110548,R,TouchTone,X
1111110549,R,TouchTone,X
1111110550,R,TouchTone,X
1111110551,R,TouchTone,X
1111110552,R,TouchTone,X
1111110553,R,TouchTone,X
1111110554,R,TouchTone,X
1111110555,R,TouchTone,X
1111110556,R,TouchTone,X
1111110557,R,TouchTone,X
1111110558,R,TouchTone,X
1111110559,R,TouchTone,X
1111110560,R,TouchTone,X
1111110561,R,TouchTone,X
1111110562,R,TouchTone,X
1111110563,R,TouchTone,X
1111110564,R,TouchTone,X
1111110565,R,TouchTone,X
1111110566,R,TouchTone,X
1111110567,R,TouchTone,X
1111110568,R,TouchTone,X
1111110569,R,TouchTone,X
1111110570,R,TouchTone,X
1111110571,R,TouchTone,X
1111110572,R,TouchTone,X
1111110573,R,TouchTone,X
1111110574,R,TouchTone,X
1111110575,R,TouchTone,X
1111110576,R,TouchTone,X
1111110577,R,TouchTone,X
1111110578,R,TouchTone,X
1111110579,R,TouchTone,X
1111110580,R,TouchTone,X
1111110581,R,TouchTone,X
1111110582,R,TouchTone,X
1111110583,R,TouchTone,X
1111110584,R,TouchTone,X
1111110585,R,TouchTone,X
1111110586,R,TouchTone,X
1111110587,R,TouchTone,X
1111110588,R,TouchTone,X
1111110589,R,TouchTone,X
1111110590,R,TouchTone,X
1111110591,R,TouchTone,X
1111110592,R,TouchTone,X
1111110593,R,TouchTone,X
1111110594,R,TouchTone,X
1111110595,R,TouchTone,X
1111110596,R,TouchTone,X
1111110597,R,TouchTone,X
1111110598,R,TouchTone,X
1111110599,R,TouchTone,X
1111110600,R,CCI,A
1111110601,R,CCI,A
1111110602,R,CCI,A
1111110603,R,CCI,A
1111110604,R,CCI,A
1111110605,R,CCI,A
1111110606,R,CCI,A
1111110607,R,CCI,A
1111110608,R,CCI,A
1111110609,R,CCI,A
1111110610,R,CCI,A
1111110611,R,CCI,A
1111110612,R,CCI,A
1111110613,R,CCI,A
1111110614,R,CCI,A
1111110615,R,CCI,A
1111110616,R,CCI,I
1111110617,R,CCI,I
1111110618,R,CCI,I
1111110619,R,CCI,I
1111110620,R,CCI,I
1111110621,R,CCI,I
1111110622,R,CCI,I
1111110623,R,CCI,I
1111110624,R,CCI,I
1111110625,R,CCI,I
1111110626,R,CCI,I
1111110627,R,CCI,I
1111110628,R,CCI,I
1111110629,R,CCI,I
1111110630,R,CCI,I
1111110631,R,CCI,I
1111110632,R,CCI,I
1111110633,R,CCI,I
1111110634,R,CCI,I
1111110635,R,CCI,I
1111110636,R,CCI,I
1111110637,R,CCI,I
1111110638,R,CCI,I
1111110639,R,CCI,I
1111110640,R,CCI,I
1111110641,R,CCI,I
1111110642,R,CCI,I
1111110643,R,CCI,I
1111110644,R,CCI,I
1111110645,R,CCI,I
1111110646,R,CCI,I
1111110647,R,CCI,I
1111110648,R,CCI,I
1111110649,R,CCI,I
1111110650,R,CCI,I
1111110651,R,CCI,I
1111110652,R,CCI,I
1111110653,R,CCI,I
1111110654,R,CCI,I
1111110655,R,CCI,I
1111110656,R,CCI,I
1111110657,R,CCI,I
1111110658,R,CCI,I
1111110659,R,CCI,I
1111110660,R,CCI,I
1111110661,R,CCI,I
1111110662,R,CCI,I
1111110663,R,CCI,I
1111110664,R,CCI,I
1111110665,R,CCI,I
1111110666,R,CCI,I
1111110667,R,CCI,I
1111110668,R,CCI,I
1111110669,R,CCI,I
1111110670,R,CCI,I
1111110671,R,CCI,I
1111110672,R,CCI,I
1111110673,R,CCI,I
1111110674,R,CCI,I
1111110675,R,CCI,I
1111110676,R,CCI,I
1111110677,R,CCI,I
1111110678,R,CCI,I
1111110679,R,CCI,I
1111110680,R,CCI,I
1111110681,R,CCI,I
1111110682,R,CCI,I
1111110683,R,CCI,I
1111110684,R,CCI,I
1111110685,R,CCI,I
1111110686,R,CCI,I
1111110687,R,CCI,I
1111110688,R,CCI,I
1111110689,R,CCI,I
1111110690,R,CCI,I
1111110691,R,CCI,I
1111110692,R,CCI,I
1111110693,R,CCI,I
1111110694,R,CCI,I
1111110695,R,CCI,I
1111110696,R,CCI,I
1111110697,R,CCI,I
1111110698,R,CCI,I
1111110699,R,CCI,I
1111110700,B,TouchTone,X
1111110701,B,TouchTone,X
1111110702,B,TouchTone,X
1111110703,B,TouchTone,X
1111110704,B,TouchTone,X
1111110705,B,TouchTone,X
1111110706,B,TouchTone,X
1111110707,B,TouchTone,X
1111110708,B,TouchTone,X
1111110709,B,TouchTone,X
1111110710,B,TouchTone,X
1111110711,B,TouchTone,X
1111110712,B,TouchTone,X
1111110713,B,TouchTone,X
1111110714,B,TouchTone,X
1111110715,B,TouchTone,X
1111110716,B,TouchTone,X
1111110717,B,TouchTone,X
1111110718,B,TouchTone,X
1111110719,B,TouchTone,X
1111110720,B,TouchTone,X
1111110721,B,TouchTone,X
1111110722,B,TouchTone,X
1111110723,B,TouchTone,X
1111110724,B,TouchTone,X
1111110725,B,TouchTone,X
1111110726,B,TouchTone,X
1111110727,B,TouchTone,X
1111110728,B,TouchTone,X
1111110729,B,TouchTone,X
1111110730,B,TouchTone,X
1111110731,B,TouchTone,X
1111110732,B,TouchTone,X
1111110733,B,TouchTone,X
1111110734,B,TouchTone,X
1111110735,B,TouchTone,X
1111110736,B,TouchTone,X
1111110737,B,TouchTone,X
1111110738,B,TouchTone,X
1111110739,B,TouchTone,X
1111110740,B,TouchTone,X
1111110741,B,TouchTone,X
1111110742,B,TouchTone,X
1111110743,B,TouchTone,X
1111110744,B,TouchTone,X
1111110745,B,TouchTone,X
1111110746,B,TouchTone,X
1111110747,B,TouchTone,X
1111110748,B,TouchTone,X
1111110749,B,TouchTone,X
1111110750,B,TouchTone,X
1111110751,B,TouchTone,X
1111110752,B,TouchTone,X
1111110753,B,TouchTone,X
1111110754,B,TouchTone,X
1111110755,B,TouchTone,X
1111110756,B,TouchTone,X
1111110757,B,TouchTone,X
1111110758,B,TouchTone,X
1111110759,B,TouchTone,X
1111110760,B,TouchTone,X
1111110761,B,TouchTone,X
1111110762,B,TouchTone,X
1111110763,B,TouchTone,X
1111110764,B,TouchTone,X
1111110765,B,TouchTone,X
1111110766,B,TouchTone,X
1111110767,B,TouchTone,X
1111110768,B,TouchTone,X
1111110769,B,TouchTone,X
1111110770,B,TouchTone,X
1111110771,B,TouchTone,X
1111110772,B,TouchTone,X
1111110773,B,TouchTone,X
1111110774,B,TouchTone,X
1111110775,B,TouchTone,X
1111110776,B,TouchTone,X
1111110777,B,TouchTone,X
1111110778,B,TouchTone,X
1111110779,B,TouchTone,X
1111110780,B,TouchTone,X
1111110781,B,TouchTone,X
1111110782,B,TouchTone,X
1111110783,B,TouchTone,X
1111110784,B,TouchTone,X
1111110785,B,TouchTone,X
1111110786,B,TouchTone,X
1111110787,B,TouchTone,X
1111110788,B,TouchTone,X
1111110789,B,TouchTone,X
1111110790,B,TouchTone,X
1111110791,B,TouchTone,X
1111110792,B,TouchTone,X
1111110793,B,TouchTone,X
1111110794,B,TouchTone,X
1111110795,B,TouchTone,X
1111110796,B,TouchTone,X
1111110797,B,TouchTone,X
1111110798,B,TouchTone,X
1111110799,B,TouchTone,X
1111110800,B,CCI,X
1111110801,B,CCI,X
1111110802,B,CCI,X
1111110803,B,CCI,X
1111110804,B,CCI,X
1111110805,B,CCI,X
1111110806,B,CCI,X
1111110807,B,CCI,X
1111110808,B,CCI,X
1111110809,B,CCI,X
1111110810,B,CCI,X
1111110811,B,CCI,X
1111110812,B,CCI,X
1111110813,B,CCI,X
1111110814,B,CCI,X
1111110815,B,CCI,X
1111110816,B,CCI,X
1111110817,B,CCI,X
1111110818,B,CCI,X
1111110819,B,CCI,X
1111110820,B,CCI,X
1111110821,B,CCI,X
1111110822,B,CCI,X
1111110823,B,CCI,X
1111110824,B,CCI,X
1111110825,B,CCI,X
1111110826,B,CCI,X
1111110827,B,CCI,X
1111110828,B,CCI,X
1111110829,B,CCI,X
1111110830,B,CCI,X
1111110831,B,CCI,X
1111110832,B,CCI,X
1111110833,B,CCI,X
1111110834,B,CCI,X
1111110835,B,CCI,X
1111110836,B,CCI,X
1111110837,B,CCI,X
1111110838,B,CCI,X
1111110839,B,CCI,X
1111110840,B,CCI,X
1111110841,B,CCI,X
1111110842,B,CCI,X
1111110843,B,CCI,X
1111110844,B,CCI,X
1111110845,B,CCI,X
1111110846,B,CCI,X
1111110847,B,CCI,X
1111110848,B,CCI,X
1111110849,B,CCI,X
1111110850,B,CCI,X
1111110851,B,CCI,X
1111110852,B,CCI,X
1111110853,B,CCI,X
1111110854,B,CCI,X
1111110855,B,CCI,X
1111110856,B,CCI,X
1111110857,B,CCI,X
1111110858,B,CCI,X
1111110859,B,CCI,X
1111110860,B,CCI,X
1111110861,B,CCI,X
1111110862,B,CCI,X
1111110863,B,CCI,X
1111110864,B,CCI,X
1111110865,B,CCI,X
1111110866,B,CCI,X
1111110867,B,CCI,X
1111110868,B,CCI,X
1111110869,B,CCI,X
1111110870,B,CCI,X
1111110871,B,CCI,X
1111110872,B,CCI,X
1111110873,B,CCI,X
1111110874,B,CCI,X
1111110875,B,CCI,X
1111110876,B,CCI,X
1111110877,B,CCI,X
1111110878,B,CCI,X
1111110879,B,CCI,X
1111110880,B,CCI,X
1111110881,B,CCI,X
1111110882,B,CCI,X
1111110883,B,CCI,X
1111110884,B,CCI,X
1111110885,B,CCI,X
1111110886,B,CCI,X
1111110887,B,CCI,X
1111110888,B,CCI,X
1111110889,B,CCI,X
1111110890,B,CCI,X
1111110891,B,CCI,X
1111110892,B,CCI,X
1111110893,B,CCI,X
1111110894,B,CCI,X
1111110895,B,CCI,X
1111110896,B,CCI,X
1111110897,B,CCI,X
1111110898,B,CCI,X
1111110899,B,CCI,X
1111110900,NA,NA,X
1111110901,NA,NA,X
1111110902,NA,NA,X
1111110903,NA,NA,X
1111110904,NA,NA,X
1111110905,NA,NA,X
1111110906,NA,NA,X
1111110907,NA,NA,X
1111110908,NA,NA,X
1111110909,NA,NA,X
1111110910,NA,NA,X
1111110911,NA,NA,X
1111110912,NA,NA,X
1111110913,NA,NA,X
1111110914,NA,NA,X
1111110915,NA,NA,X
1111110916,NA,NA,X
1111110917,NA,NA,X
1111110918,NA,NA,X
1111110919,NA,NA,X
1111110920,NA,NA,X
1111110921,NA,NA,X
1111110922,NA,NA,X
1111110923,NA,NA,X
1111110924,NA,NA,X
1111110925,NA,NA,X
1111110926,NA,NA,X
1111110927,NA,NA,X
1111110928,NA,NA,X
1111110929,NA,NA,X
1111110930,NA,NA,X
1111110931,NA,NA,X
1111110932,NA,NA,X
1111110933,NA,NA,X
1111110934,NA,NA,X
1111110935,NA,NA,X
1111110936,NA,NA,X
1111110937,NA,NA,X
1111110938,NA,NA,X
1111110939,NA,NA,X
1111110940,NA,NA,X
1111110941,NA,NA,X
1111110942,NA,NA,X
1111110943,NA,NA,X
1111110944,NA,NA,X
1111110945,NA,NA,X
1111110946,NA,NA,X
1111110947,NA,NA,X
1111110948,NA,NA,X
1111110949,NA,NA,X
1111110950,NA,NA,X
1111110951,NA,NA,X
1111110952,NA,NA,X
1111110953,NA,NA,X
1111110954,NA,NA,X
1111110955,NA,NA,X
1111110956,NA,NA,X
1111110957,NA,NA,X
1111110958,NA,NA,X
1111110959,NA,NA,X
1111110960,NA,NA,X
1111110961,NA,NA,X
1111110962,NA,NA,X
1111110963,NA,NA,X
1111110964,NA,NA,X
1111110965,NA,NA,X
1111110966,NA,NA,X
1111110967,NA,NA,X
1111110968,NA,NA,X
1111110969,NA,NA,X
1111110970,NA,NA,X
1111110971,NA,NA,X
1111110972,NA,NA,X
1111110973,NA,NA,X
1111110974,NA,NA,X
1111110975,NA,NA,X
1111110976,NA,NA,X
1111110977,NA,NA,X
1111110978,NA,NA,X
1111110979,NA,NA,X
1111110980,NA,NA,X
1111110981,NA,NA,X
1111110982,NA,NA,X
1111110983,NA,NA,X
1111110984,NA,NA,X
1111110985,NA,NA,X
1111110986,NA,NA,X
1111110987,NA,NA,X
1111110988,NA,NA,X
1111110989,NA,NA,X
1111110990,NA,NA,X
1111110991,NA,NA,X
1111110992,NA,NA,X
1111110993,NA,NA,X
1111110994,NA,NA,X
1111110995,NA,NA,X
1111110996,NA,NA,X
1111110997,NA,NA,X
1111110998,NA,NA,X
1111110999,NA,NA,X
